DEV-94220,sarah28@hotmail.com
john.anderson742@hotmail.com,john742@gmail.com
DEV-87874,john_miller_973
DEV-18356,555-3860
DEV-61155,emma822@school.edu
alice559@hotmail.com,DEV-82011
alice332@work.com,DEV-35810
555-7724,lisa.moore273@gmail.com
james.moore828@school.edu,555-3449
sarah_jones_944,555-8082
emma835@hotmail.com,emma.wilson835@gmail.com
555-1571,james_brown_541
james_anderson_745,555-6980
mary.moore53@gmail.com,555-9636
lisa921@work.com,lisa_jones_921
david_brown_856,DEV-42635
david.anderson284@work.com,david284@yahoo.com
alice_davis_698,555-5691
DEV-45351,david.wilson866@gmail.com
sarah_wilson_524,sarah524@work.com
david947@yahoo.com,david.davis947@hotmail.com
alice.brown188@work.com,555-8575
555-7967,mary106@hotmail.com
DEV-40573,james318@work.com
sarah.doe273@yahoo.com,DEV-74528
DEV-75297,mary_doe_352
555-1470,alice332@work.com
DEV-43787,emma_anderson_837
bob_taylor_591,555-5640
bob591@yahoo.com,DEV-21940
david_davis_947,david947@yahoo.com
sarah.anderson797@school.edu,sarah_anderson_797
mary_doe_668,DEV-80932
john_brown_484,555-6572
555-4045,john.anderson761@school.edu
555-2683,DEV-20137
mary.brown520@work.com,mary_brown_520
DEV-69722,mary729@work.com
555-2689,DEV-14590
alice404@work.com,DEV-20582
lisa.doe689@work.com,lisa_doe_689
lisa.miller647@yahoo.com,lisa647@school.edu
DEV-35034,mary.brown341@work.com
555-9400,DEV-65978
DEV-10335,555-5196
555-9907,alice205@hotmail.com
555-6980,DEV-48727
emma_taylor_261,emma.taylor261@yahoo.com
555-1130,alice_brown_941
DEV-31323,michael_jones_330
sarah.moore734@work.com,555-2461
lisa.jones223@work.com,lisa_jones_223
DEV-54826,sarah998@hotmail.com
david_moore_59,DEV-65451
sarah_taylor_767,sarah.taylor767@school.edu
555-3525,david_wilson_594
james.wilson282@yahoo.com,DEV-87033
555-9636,mary_moore_53
555-9786,john.brown632@yahoo.com
DEV-30662,alice351@school.edu
DEV-39734,555-9907
sarah356@yahoo.com,sarah.smith356@work.com
DEV-12087,555-3069
555-7981,sarah_doe_273
alice_davis_630,alice630@yahoo.com
555-4873,james185@school.edu
lisa_jones_921,lisa.jones921@hotmail.com
james971@school.edu,DEV-10680
michael_brown_722,michael.brown722@gmail.com
james736@work.com,james_doe_736
emma.brown294@gmail.com,DEV-20751
john761@gmail.com,555-4045
lisa.anderson337@gmail.com,DEV-13396
john742@gmail.com,555-7109
DEV-99766,david.miller47@gmail.com
emma567@yahoo.com,DEV-39615
555-7178,mary352@yahoo.com
DEV-33964,555-1232
emma_davis_567,emma567@yahoo.com
DEV-35719,lisa599@yahoo.com
sarah.anderson28@yahoo.com,555-3444
555-3449,james828@yahoo.com
DEV-25113,555-4658
james_brown_541,DEV-93048
alice.wilson110@gmail.com,alice_wilson_110
lisa984@yahoo.com,DEV-84856
DEV-38848,david_taylor_719
DEV-22927,555-2212
sarah.davis539@school.edu,555-7724
john.anderson86@hotmail.com,john86@work.com
bob.wilson302@hotmail.com,bob_wilson_302
alice849@work.com,alice.moore849@yahoo.com
DEV-35241,555-2538
mary674@work.com,DEV-98865
DEV-61665,michael589@school.edu
555-8825,DEV-75245
john.miller973@gmail.com,john973@school.edu
james282@yahoo.com,james.wilson282@yahoo.com
DEV-20485,john.brown484@hotmail.com
john.taylor524@hotmail.com,john524@hotmail.com
DEV-31003,555-4681
555-1666,DEV-90944
DEV-90000,555-6290
555-3560,sarah_smith_356
david_miller_47,DEV-99766
michael_taylor_941,DEV-58723
mary.miller106@hotmail.com,mary_miller_106
mary.anderson352@hotmail.com,555-7178
DEV-62856,david.anderson625@yahoo.com
lisa_jones_515,555-8784
mary.doe352@yahoo.com,DEV-75297
lisa_anderson_907,DEV-99427
555-5812,emma939@work.com
555-6572,DEV-20485
david.davis52@hotmail.com,david52@gmail.com
sarah.taylor767@school.edu,sarah767@work.com
john484@gmail.com,john_brown_484
555-6329,mary.wilson412@gmail.com
lisa963@hotmail.com,lisa_smith_963
james541@yahoo.com,555-1571
david_jones_326,david.jones326@school.edu
mary_miller_729,555-8919
555-6470,david_davis_947
DEV-20137,lisa223@gmail.com
DEV-65978,michael.davis650@work.com
555-6494,john.moore487@hotmail.com
555-7486,emma.davis763@work.com
DEV-90672,emma176@yahoo.com
john_taylor_524,john.taylor524@hotmail.com
555-2204,sarah.anderson797@school.edu
555-3879,DEV-99065
555-7109,DEV-46533
lisa_doe_854,lisa.doe854@hotmail.com
lisa.miller640@gmail.com,555-5250
bob.taylor591@yahoo.com,bob591@yahoo.com
DEV-58723,michael941@work.com
james.jones485@work.com,DEV-79159
james.wilson249@yahoo.com,555-6248
555-7780,john461@hotmail.com
david.miller752@yahoo.com,555-8796
sarah_wilson_832,555-6889
bob860@hotmail.com,bob.taylor860@hotmail.com
555-7631,bob.moore752@hotmail.com
emma_wilson_835,DEV-28591
DEV-74745,lisa.smith963@work.com
john487@school.edu,DEV-82600
555-6248,james_wilson_249
mary53@work.com,DEV-87012
DEV-82011,alice.jones559@work.com
